seed,radius,trial,success,progress,start_x,end_x
3,0.75,7,0,0.028958824937850403,-0.31380314086128686,-0.28484431592343645
3,0.75,8,0,0.02000772196993006,-0.31380314086128686,-0.2937954188913568
3,0.75,9,0,0.022860353946169476,-0.31380314086128686,-0.2909427869151174
3,1.0,0,0,0.023196950482644363,-0.31380314086128686,-0.2906061903786425
3,1.0,1,0,0.023042143120634406,-0.31380314086128686,-0.29076099774065245
3,1.0,2,0,0.031214711538094353,-0.31380314086128686,-0.2825884293231925
3,1.0,3,0,0.017615643482229826,-0.31380314086128686,-0.29618749737905703
3,1.0,4,0,0.032574573434423215,-0.31380314086128686,-0.28122856742686364
3,1.0,5,0,0.025768433267684576,-0.31380314086128686,-0.2880347075936023
3,1.0,6,0,0.028641861937960755,-0.31380314086128686,-0.2851612789233261
3,1.0,7,0,0.031060496268171478,-0.31380314086128686,-0.2827426445931154
3,1.0,8,0,0.019189381190931165,-0.31380314086128686,-0.2946137596703557
3,1.0,9,0,0.022926577569269524,-0.31380314086128686,-0.29087656329201733
3,1.25,0,0,0.023419072967474197,-0.31380314086128686,-0.29038406789381266
3,1.25,1,0,0.023181198102003697,-0.31380314086128686,-0.29062194275928316
3,1.25,2,0,0.033405001481038255,-0.31380314086128686,-0.2803981393802486
3,1.25,3,0,0.016482862390069186,-0.31380314086128686,-0.29732027847121767
3,1.25,4,0,0.03527314554216737,-0.31380314086128686,-0.2785299953191195
3,1.25,5,0,0.02661916428517641,-0.31380314086128686,-0.28718397657611044
3,1.25,6,0,0.030246462436297028,-0.31380314086128686,-0.2835566784249898
3,1.25,7,0,0.033141879260585316,-0.31380314086128686,-0.28066126160070154
3,1.25,8,0,0.018380167744860787,-0.31380314086128686,-0.29542297311642607
