seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
9,2,3.0,0,1,1,-100.0,-0.4953751087188721,0.5022032356262206
10,0,0.0,1,0,116,203.3964257288681,0.06612215042114258,0.40425826072692866
10,1,0.0,1,0,116,203.3964257288681,0.06612215042114258,0.40425826072692866
10,2,0.0,1,0,116,203.3964257288681,0.06612215042114258,0.40425826072692866
10,0,0.5,1,0,113,205.44048160882784,0.06612215042114258,0.40425826072692866
10,1,0.5,1,0,100,197.99230403318086,0.06612215042114258,0.40425826072692866
10,2,0.5,1,0,116,215.94827070016484,0.06612215042114258,0.40425826072692866
10,0,1.0,1,0,79,210.74420639619467,0.06612215042114258,0.40425826072692866
10,1,1.0,1,0,105,209.03006130368925,0.06612215042114258,0.40425826072692866
10,2,1.0,1,0,147,237.3442909150255,0.06612215042114258,0.40425826072692866
10,0,1.5,0,1,19,-15.453777815275146,0.06612215042114258,0.40425826072692866
10,1,1.5,1,0,113,239.53603177490476,0.06612215042114258,0.40425826072692866
10,2,1.5,1,0,177,266.85485789103916,0.06612215042114258,0.40425826072692866
10,0,2.0,0,1,4,-82.12642742811764,0.06612215042114258,0.40425826072692866
10,1,2.0,0,0,500,135.37885967140036,0.06612215042114258,0.40425826072692866
10,2,2.0,1,0,208,304.300222788197,0.06612215042114258,0.40425826072692866
10,0,2.5,0,1,1,-100.0,0.06612215042114258,0.40425826072692866
10,1,2.5,1,0,160,233.64810606608796,0.06612215042114258,0.40425826072692866
10,2,2.5,1,0,244,315.695826501199,0.06612215042114258,0.40425826072692866
10,0,3.0,0,1,1,-100.0,0.06612215042114258,0.40425826072692866
10,1,3.0,1,0,315,279.67082299746323,0.06612215042114258,0.40425826072692866
10,2,3.0,1,0,315,348.52913275277393,0.06612215042114258,0.40425826072692866
11,0,0.0,1,0,97,170.2261224469325,0.06376590728759765,0.22143674850463863
11,1,0.0,1,0,97,170.2261224469325,0.06376590728759765,0.22143674850463863
11,2,0.0,1,0,97,170.2261224469325,0.06376590728759765,0.22143674850463863
11,0,0.5,1,0,98,163.34222741477026,0.06376590728759765,0.22143674850463863
11,1,0.5,1,0,87,150.07544234920533,0.06376590728759765,0.22143674850463863
11,2,0.5,1,0,96,156.51747995585023,0.06376590728759765,0.22143674850463863
11,0,1.0,1,0,176,166.92549681932098,0.06376590728759765,0.22143674850463863
11,1,1.0,1,0,113,157.76847369315018,0.06376590728759765,0.22143674850463863
11,2,1.0,1,0,257,176.30516140582685,0.06376590728759765,0.22143674850463863
11,0,1.5,1,0,223,171.85492899918736,0.06376590728759765,0.22143674850463863
11,1,1.5,1,0,128,194.8687826635565,0.06376590728759765,0.22143674850463863
11,2,1.5,1,0,337,174.59501106716203,0.06376590728759765,0.22143674850463863
11,0,2.0,1,0,234,188.521623647434,0.06376590728759765,0.22143674850463863
11,1,2.0,1,0,181,223.9658554410287,0.06376590728759765,0.22143674850463863
11,2,2.0,0,1,90,-121.39145737175039,0.06376590728759765,0.22143674850463863
11,0,2.5,1,0,220,221.63479106273127,0.06376590728759765,0.22143674850463863
11,1,2.5,1,0,213,261.3610687159746,0.06376590728759765,0.22143674850463863
11,2,2.5,0,1,59,-106.61419490386943,0.06376590728759765,0.22143674850463863
11,0,3.0,1,0,184,233.7422701510131,0.06376590728759765,0.22143674850463863
11,1,3.0,1,0,242,297.6334423311099,0.06376590728759765,0.22143674850463863
11,2,3.0,0,1,43,-66.38163212791059,0.06376590728759765,0.22143674850463863
