seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
7,1,1.0,1,0,191,127.2969107905609,-0.06138935089111328,0.11841152667999263
7,2,1.0,0,1,7,-89.43496730317548,-0.06138935089111328,0.11841152667999263
8,0,0.0,0,0,260,-34.69869449745279,-0.13216581344604492,0.1635478830337524
8,1,0.0,0,0,260,-34.69869449745279,-0.13216581344604492,0.1635478830337524
8,2,0.0,0,0,260,-34.69869449745279,-0.13216581344604492,0.1635478830337524
8,0,0.2,0,1,209,-158.9670356834561,-0.13216581344604492,0.1635478830337524
8,1,0.2,0,0,260,-66.07799903018672,-0.13216581344604492,0.1635478830337524
8,2,0.2,1,0,113,172.84597993265714,-0.13216581344604492,0.1635478830337524
8,0,0.4,0,1,147,-211.42279998374258,-0.13216581344604492,0.1635478830337524
8,1,0.4,0,0,260,-22.368536229250967,-0.13216581344604492,0.1635478830337524
8,2,0.4,1,0,111,171.56907705222807,-0.13216581344604492,0.1635478830337524
8,0,0.6,0,1,128,-193.43606309032828,-0.13216581344604492,0.1635478830337524
8,1,0.6,0,0,260,-16.828044918701927,-0.13216581344604492,0.1635478830337524
8,2,0.6,1,0,123,166.72895305210665,-0.13216581344604492,0.1635478830337524
8,0,0.8,0,1,156,-170.19881798048306,-0.13216581344604492,0.1635478830337524
8,1,0.8,1,0,91,194.06105706025238,-0.13216581344604492,0.1635478830337524
8,2,0.8,1,0,145,169.07642058203976,-0.13216581344604492,0.1635478830337524
8,0,1.0,0,1,22,-52.22415754170272,-0.13216581344604492,0.1635478830337524
8,1,1.0,1,0,85,203.51111804461397,-0.13216581344604492,0.1635478830337524
8,2,1.0,1,0,186,179.14576009299134,-0.13216581344604492,0.1635478830337524
9,0,0.0,1,0,162,229.1308609332371,-0.4693311214447021,0.43121489048004147
9,1,0.0,1,0,162,229.1308609332371,-0.4693311214447021,0.43121489048004147
9,2,0.0,1,0,162,229.1308609332371,-0.4693311214447021,0.43121489048004147
9,0,0.2,1,0,140,250.47534451784202,-0.4693311214447021,0.43121489048004147
9,1,0.2,1,0,150,243.12817321976962,-0.4693311214447021,0.43121489048004147
