scenario,seed,attempted_samples,accepted_samples,accepted_fraction,true_valid_accept_rate,invalid_accept_rate,boundary_hit_accept_rate,true_boundary_recall,mean_abs_boundary_error,clean,rauc,median_r80
symmetric_20,19,8640,6935,0.8026620370370371,1.0,0.0,0.6869502523431867,0.8008068582955119,0.06556677222528774,0.8169527371895078,0.2137991548351536,0.13737154017836703
symmetric_20,20,8640,6864,0.7944444444444444,0.9998543123543123,0.00014568764568767545,0.6774475524475524,0.7967786154900617,0.06707551610279883,0.8183114000403162,0.21426813089384752,0.13468771254609535
symmetric_20,21,8640,6892,0.7976851851851852,1.0,0.0,0.679338363319791,0.799248890406282,0.0671733669691459,0.8248680256103456,0.21805879172435955,0.13709444924079808
symmetric_20,22,8640,6905,0.7991898148148148,1.0,0.0,0.6805213613323678,0.7987421383647799,0.0665574701070628,0.8177272921887118,0.21357598100919317,0.1348768035120998
symmetric_20,23,8640,6912,0.8,0.9998553240740741,0.00014467592592593004,0.6833043981481481,0.7952517258797778,0.06687193587148153,0.8199544035255238,0.21721459475859564,0.13779220990146052
symmetric_20,24,8640,6856,0.7935185185185185,0.999708284714119,0.00029171528588101125,0.68450991831972,0.7978578714722884,0.06683906135655299,0.8211111756662379,0.217192645957743,0.13651490682107087
symmetric_20,25,8640,6879,0.7961805555555556,1.0,0.0,0.680331443523768,0.7980900409276944,0.06649464215119089,0.8204684322961331,0.21527572887524576,0.13486219833603005
symmetric_20,26,8640,6927,0.8017361111111111,1.0,0.0,0.6728742601414753,0.8020994665289968,0.06832363124257498,0.8192055442892527,0.21943681431117332,0.13705260212528497
symmetric_20,27,8640,6911,0.7998842592592592,1.0,0.0,0.6802199392273187,0.8052415210688592,0.06684874402150005,0.8214906288820897,0.21727449233917107,0.14044809396912528
symmetric_20,28,8640,6806,0.7877314814814815,0.9998530708198649,0.00014692918013514689,0.6774904496032912,0.787532023911187,0.06687530564961017,0.8204720186309171,0.21611341661250016,0.1363700129490058
symmetric_20,29,8640,6975,0.8072916666666666,0.9998566308243727,0.0001433691756272948,0.6778494623655914,0.804902962206333,0.06694125198471813,0.819180347287645,0.2144761571146144,0.13266611481842638
