method,seed,step,clean,rauc,median_r80
bgr,6,0.0,1.0,0.9114583333333334,2.7
bgr,6,20.0,0.0,0.19661458333333334,4.0
bgr,6,40.0,0.16666666666666666,0.3098958333333333,4.0
bgr,6,60.0,0.16666666666666666,0.3307291666666667,4.0
bgr,6,80.0,0.5,0.3932291666666667,2.6
bgr,7,0.0,1.0,0.9192708333333334,3.45
bgr,7,20.0,0.25,0.20442708333333334,4.0
bgr,7,40.0,0.6666666666666666,0.5130208333333334,0.85
bgr,7,60.0,0.75,0.4544270833333333,0.6
bgr,7,80.0,0.25,0.14583333333333334,4.0
bgr,8,0.0,1.0,0.9296875,3.2
bgr,8,20.0,0.5833333333333334,0.4049479166666667,1.7
bgr,8,40.0,0.08333333333333333,0.2578125,4.0
bgr,8,60.0,0.5833333333333334,0.23567708333333334,0.7
bgr,8,80.0,0.08333333333333333,0.12239583333333333,4.0
bgr,9,0.0,1.0,0.890625,2.7
bgr,9,20.0,0.0,0.09114583333333333,4.0
bgr,9,40.0,0.0,0.1171875,4.0
bgr,9,60.0,0.4166666666666667,0.59375,4.0
bgr,9,80.0,0.4166666666666667,0.4140625,4.0
bgr,10,0.0,1.0,0.8828125,2.9000000000000004
bgr,10,20.0,0.08333333333333333,0.5859375,4.0
bgr,10,40.0,0.08333333333333333,0.3919270833333333,4.0
bgr,10,60.0,0.08333333333333333,0.16145833333333334,4.0
bgr,10,80.0,0.0,0.171875,4.0
bgr,11,0.0,1.0,0.91796875,2.95
bgr,11,20.0,0.4166666666666667,0.3645833333333333,4.0
bgr,11,40.0,0.16666666666666666,0.21223958333333334,4.0
bgr,11,60.0,0.16666666666666666,0.28125,4.0
bgr,11,80.0,0.25,0.3046875,4.0
