stress_case,method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
tight_feasible,bgr_broad,13,0.8612513987341376,0.40007156256811943,0.39591336184092973,0.23447915266732616,0.33531655586867243,0.40007156256811943
tight_feasible,bgr_broad,14,0.858821199808259,0.3948254763426137,0.38838149923862575,0.23483474651803818,0.33182487959430784,0.3948254763426137
diffuse_boundary,uniform,0,0.8344839905703215,0.469236065280646,0.4554183788782292,0.3012798459414829,0.3643644385594924,0.469236065280646
diffuse_boundary,uniform,1,0.8303889985892812,0.47029872493906677,0.44731770572350066,0.3040713826756287,0.3636456615850235,0.47029872493906677
diffuse_boundary,uniform,2,0.8384367910425129,0.4704970244068168,0.44206448463557857,0.30360541755807635,0.36623666115364467,0.4704970244068168
diffuse_boundary,uniform,3,0.8226165848196699,0.46442892512735956,0.447147095264176,0.30036221216161857,0.3587634332855227,0.46442892512735956
diffuse_boundary,uniform,4,0.8346669233995776,0.47299928413347825,0.45281260893310626,0.30827633034300683,0.36833453222272244,0.47299928413347825
diffuse_boundary,uniform,5,0.8307875206341832,0.4717718346239323,0.4548243035330396,0.307137379484602,0.3666748873093118,0.4717718346239323
diffuse_boundary,uniform,6,0.8292895599999769,0.4635461001560668,0.44066114062752526,0.30353865200477725,0.3609511772184395,0.4635461001560668
diffuse_boundary,uniform,7,0.8338646084145643,0.4634472526234867,0.44738285403335176,0.3009597449718918,0.3613664697217723,0.4634472526234867
diffuse_boundary,uniform,8,0.8334595429508442,0.47197741845257074,0.4533370352969207,0.3004776065510932,0.3627525628535369,0.47197741845257074
diffuse_boundary,uniform,9,0.8322217834997135,0.46622955145218337,0.4463433623976563,0.30222540701769707,0.3632048821864382,0.46622955145218337
diffuse_boundary,uniform,10,0.8318278569622384,0.4685610257835254,0.45027817064962716,0.3016716016612462,0.3639896085156471,0.4685610257835254
diffuse_boundary,uniform,11,0.8239257555461525,0.46383671268626536,0.4502105561234345,0.2971407063998939,0.35791255061690175,0.46383671268626536
diffuse_boundary,uniform,12,0.8321025553877867,0.4737982402927346,0.44788310866643455,0.3064708292158173,0.3665209368589025,0.4737982402927346
diffuse_boundary,uniform,13,0.8302379370556596,0.4706239843164251,0.45561876521794215,0.30442189343448206,0.36382813818630677,0.4706239843164251
diffuse_boundary,uniform,14,0.8293398079946127,0.4658783225083686,0.4515438311371295,0.30235831469980734,0.36207498367168744,0.4658783225083686
diffuse_boundary,bgr_broad,0,0.859384297480504,0.47796851428723147,0.4469605253609835,0.3092202149433642,0.37390791571773063,0.47796851428723147
diffuse_boundary,bgr_broad,1,0.8591732010191871,0.48083525200569815,0.43822392811823246,0.3084168524937585,0.37412066891123,0.48083525200569815
diffuse_boundary,bgr_broad,2,0.8632966548435566,0.48170797572901874,0.4351003892257581,0.3090742793589595,0.37506247638639123,0.48170797572901874
diffuse_boundary,bgr_broad,3,0.8514328843338574,0.4745607562857127,0.44432011260032345,0.30437618549493844,0.36723059923872486,0.4745607562857127
diffuse_boundary,bgr_broad,4,0.8640095995198565,0.4875856865096734,0.44544589400522294,0.31557438178536706,0.3810801848979056,0.4875856865096734
diffuse_boundary,bgr_broad,5,0.8584534693911154,0.48115867068762486,0.44160850341935687,0.3117781971148855,0.37428409317548916,0.48115867068762486
