learning_rate,method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
0.03,bgr,6,0.9450121535699438,0.44057959724370443,0.3478129418646372,0.3575610361805758,0.44057959724370443
0.03,bgr,7,0.9468622088313612,0.4349638968303904,0.34069111331469326,0.3519413826490557,0.4349638968303904
0.03,bgr,8,0.945411720807578,0.43358048965985635,0.3487978731860387,0.3514725002862173,0.43358048965985635
0.03,bgr,9,0.9451811917511962,0.4324439691465518,0.3474709881290577,0.35084336760361334,0.4324439691465518
0.03,bgr,10,0.9425940448302542,0.4305605981460603,0.34554445189909877,0.34903930541284595,0.4305605981460603
0.03,bgr,11,0.9428724516674701,0.4340052741648802,0.3465332586633583,0.3514562400113717,0.4340052741648802
0.03,bgr,12,0.9450252678506406,0.4350577495705363,0.34106283281164174,0.35348293622214444,0.4350577495705363
0.03,bgr,13,0.9476154884808363,0.4329931177724359,0.3404181995962974,0.35034220481838285,0.4329931177724359
0.03,bgr,14,0.9501190463092917,0.43460943508933525,0.34058639897050746,0.3515806008913017,0.43460943508933525
0.03,bgr,15,0.9452094905830837,0.43526032776520823,0.34554829962155176,0.35464851842400913,0.43526032776520823
0.03,bgr,16,0.9476418965222548,0.43057281652670604,0.3356693859818213,0.3481811405764971,0.43057281652670604
0.03,bgr,17,0.9431690025966121,0.4357132733721906,0.3451778346819075,0.35367498087197596,0.4357132733721906
0.03,bgr,18,0.9431949898517467,0.43711511896778416,0.3476437536942467,0.35459971204628876,0.43711511896778416
0.03,bgr,19,0.9466041049276172,0.4338592485365926,0.3433910900913259,0.35105752383058575,0.4338592485365926
0.03,bgr,20,0.944176092700738,0.43314173357558405,0.34982127512939976,0.3516452075672636,0.43314173357558405
0.03,bgr,21,0.941914926271023,0.4346652673750332,0.35167871417759833,0.3542541953738013,0.4346652673750332
0.03,bgr,22,0.9425516970355501,0.4362482882096212,0.35092852682110093,0.3527279757258254,0.4362482882096212
0.03,bgr,23,0.9421047969449633,0.43724110726484444,0.3531177562627928,0.3559105577724988,0.43724110726484444
0.03,bgr,24,0.9467323156856373,0.43333383919486124,0.3437190414933098,0.3529911705590295,0.43333383919486124
0.03,bgr,25,0.9487980583432428,0.4347723124333095,0.3389589411600059,0.35285397660135387,0.4347723124333095
0.03,bgr,26,0.9435019405533224,0.4340814415509235,0.34331115500706355,0.3531346101108017,0.4340814415509235
0.03,bgr,27,0.9452852495559709,0.4339342157751771,0.3443016090379666,0.3523079076254623,0.4339342157751771
0.03,bgr,28,0.9458496725225464,0.4342075842838777,0.3444588218259642,0.35298970068201074,0.4342075842838777
0.03,bgr,29,0.9470668247971689,0.431602134227075,0.34049021045432293,0.3498888854501466,0.431602134227075
0.06,uniform,0,0.9036709968132486,0.4916243215504142,0.4394793061559313,0.3797087684360088,0.4916243215504142
0.06,uniform,1,0.8993775230554323,0.4928444027938526,0.44485830719824165,0.37857184661104615,0.4928444027938526
0.06,uniform,2,0.9020696417451246,0.49091512319267994,0.4358942055018319,0.37881448598340717,0.49091512319267994
0.06,uniform,3,0.8980333852603276,0.49126184911026083,0.44146746942540344,0.38101281408337095,0.49126184911026083
0.06,uniform,4,0.905853984557623,0.49646438070986015,0.4403746384484738,0.3838507967464955,0.49646438070986015
0.06,uniform,5,0.8960429575800372,0.491847989928781,0.44601614877406515,0.380946630476483,0.491847989928781
0.06,uniform,6,0.9007795519961314,0.49208062444881373,0.43882722449297645,0.3796339280569231,0.49208062444881373
0.06,uniform,7,0.8987950969776315,0.48541612882011326,0.4348253954624714,0.373366775390663,0.48541612882011326
0.06,uniform,8,0.8989473665923213,0.491059458174882,0.44170680133749685,0.3763738888126522,0.491059458174882
0.06,uniform,9,0.8992924608569492,0.49123785780007084,0.4387102006906708,0.37870599651114045,0.49123785780007084
0.06,uniform,10,0.8964264499203358,0.49163644253767713,0.4416077007833072,0.3775760863791366,0.49163644253767713
0.06,uniform,11,0.8965231869087066,0.4907037207178688,0.44198400521842146,0.38082046039405715,0.4907037207178688
